OBJECTID,SITE_NAME,REFERENCE,STATUS,MAJOR_DEV,DEVELOPER,DEV_NAME,APP_NO,WBC_APP_NO_unique,Shape_Length,Shape_Area
38,Land north of Croft Road,SP10,Completed,Shinfield Parish,Daracliffe Homes,Saxon Meadows,F/2014/2323,12345,330.0454314,6340.953182
39,Land north of Grazeley Road,SP2,Completed,Shinfield Parish,Bellway & Bovis, ,O/2007/2268,RM/2011/2607,1538.6521,97684.54031
40,Land east of Basingstoke Road,SP3,Completed,Shinfield Parish,Crest Nicholson,The Brambles,O/2013/0565,RM/2015/1019,908.9105603,37286.47665
41,Thames Valley Science Park Phase 1,SP8_1,Fully approved (work not started),Shinfield Parish,"University of Reading, Barton Willmore", ,O/2009/1027,O/2009/1027,1749.593814,91871.13768
42,Land south of Croft Road,SP4,Under construction,Shinfield Parish,Taylor Wimpey & David Wilson Homes,Croft Gardens,O/2013/0346,F/2013/0347,1950.25665,93755.80245
43,Land north of Cutbush Lane,SP1,Completed,Shinfield Parish,Bellway,Littlebrook,O/2013/0101,RM/2014/2561,1114.08521,48920.95692
44,Shinfield West,SP9_1,Under construction,Shinfield Parish,"Bloor Homes, Linden Homes & Bovis Homes",Shinfield Meadows,O/2010/1432,161189,1282.967198,65961.84764
45,Land south of Church Lane,SP12,Under construction,Shinfield Parish,Taylor Wimpey,Deer Leap Park,O/2013/0346,181366,885.8261875,32452.05867
46,Littlefields,SP5,Under construction,Shinfield Parish, , , ,161508,270.1676763,3828.685827
47,Langley Mead SANG,SP27,Nature Park (open),Shinfield Parish,Consortia, ,O/2010/1432,12345,3434.568776,182098.979
48,Parcel U2,A12,Under construction,Arborfield,Crest Nicholson,,O/2014/2280,171333,711.2467337,27130.67275
49,Parcel Q,A13,Under construction,Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,172005,787.2640233,27925.94108
49,Parcel Q,A13,Under construction,Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,190150,787.2640233,27925.94108
50,Sustainable Transport Link,SP29,Fully approved (work not started),Shinfield Parish,Barton Willmore,,"O/2014/0346, VAR/2014/0624",170239,446.9253966,4344.491972
51,Ryeish Green Sports Centre,SP28,Completed,Shinfield Parish,Wokingham Borough Council,Ryeish Green Leisure Centre,,171143,684.8604044,10751.20877
52,Buckhurst Farm,SW1_6,Under construction,South Wokingham,David Wilson Homes,Montague Park Phase 6 (neighbourhood centre),"O/2010/1712, VAR/2015/0342 & 161963",163264,613.5901716,21151.76479
53,Buckhurst Farm,SW1_3,Completed,South Wokingham,David Wilson Homes,Montague Park Phase 3,"O/2010/1712, VAR/2015/0342 & 161963",RM/2014/0586,727.6196906,25690.09404
54,Land north of Hyde End Road,SP19,Under construction,Shinfield Parish,Bewley Homes, , ,161255,511.0689599,16255.76183
55,The Manor,SP18,Under construction,Shinfield Parish,Charles Church,Heritage Park,O/2011/0204,RM/2014/2062,1321.350312,81311.33486
56,Land north of Church Lane,SP11,Under construction,Shinfield Parish,Taylor Wimpey,Orchard Rise,O/2013/0346,162829,1141.470288,61754.81187
57,Kentwood Farm West,NW4,Under construction,North Wokingham,Crest Nicholson, ,O/2013/2295,170083,1261.611491,86911.89324
58,Land south of Church Lane and east of Basingstoke Road,SP31,Fully approved (work not started),Shinfield Parish,Taylor Wimpey,Parklands,171737,171737,569.7939725,16630.58513
59,Shinfield West Primary School,SP9_0,Completed,Shinfield Parish,"Bloor Homes, Linden Homes & Bovis Homes",Shinfield Meadows,O/2010/1432,170035,717.9752056,30622.44487
60,Matthewsgreen Farm,NW5_1,Completed,North Wokingham,Bovis,Phase 1,O/2014/2242,150093,1008.371201,41443.27555
61,Matthewsgreen Farm Phase 4,NW5_4,Under construction,North Wokingham,Bovis Homes,Emmbrook Place,O/2014/2242,172751,1494.495355,103428.658
61,Matthewsgreen Farm Phase 4,NW5_4,Under construction,North Wokingham,Bovis Homes,Emmbrook Place,O/2014/2242,181888,1494.495355,103428.658
61,Matthewsgreen Farm Phase 4,NW5_4,Under construction,North Wokingham,Bovis Homes,Emmbrook Place,O/2014/2242,191026,1494.495355,103428.658
61,Matthewsgreen Farm Phase 4,NW5_4,Under construction,North Wokingham,Bovis Homes,Emmbrook Place,O/2014/2242,191232,1494.495355,103428.658
61,Matthewsgreen Farm Phase 4,NW5_4,Under construction,North Wokingham,Bovis Homes,Emmbrook Place,O/2014/2242,191949,1494.495355,103428.658
62,Matthewsgreen Farm,NW5_2b,Under construction,North Wokingham,Linden Homes,Phase 2b,O/2014/2242,162140,822.8743407,40534.31194
63,Matthewsgreen Farm,NW5,In planning application process,North Wokingham,"Bovis, Linden Homes & Thames Valley Housing",Emmbrook Place,O/2014/2242,12345,819.6929178,32358.65396
64,"Matthewsgreen Primary School, Community Centre and Nursery",NW5_0,Fully approved (work not started),North Wokingham,Wokingham Borough Council,"Primary School, Community Centre and Nursery",O/2014/2242,172331,707.0179857,27884.2599
65,Matthewsgreen Farm,NW5_3,Under construction,North Wokingham,Linden Homes,Matthewsgreen Farm (Phase 3),O/2014/2242,170618,952.3618557,45220.35546
66,Shinfield West Phase 2,SP9_2,Under construction,Shinfield Parish,"Bloor Homes, Bovis Homes and Linden Homes",Shinfield Meadows,O/2010/1432,172450,1759.341877,169767.3061
67,Five Acre Field,SP26,Nature Park (open),Shinfield Parish,Consortia, ,O/2013/0346,12345,746.9942418,22370.15155
68,Shinfield West,SP9_1,Under construction,Shinfield Parish,"Bloor Homes, Linden Homes & Bovis Homes",Shinfield Meadows,O/2010/1432,160183,1457.256564,85685.3289
68,Shinfield West,SP9_1,Under construction,Shinfield Parish,"Bloor Homes, Linden Homes & Bovis Homes",Shinfield Meadows,O/2010/1432,161189,1457.256564,85685.3289
69,Land north of Croft Road,SP6,Under construction,Shinfield Parish,Taylor Wimpey & David Wilson Homes,,O/2013/0346,163457,1880.391397,139637.5939
69,Land north of Croft Road,SP6,Under construction,Shinfield Parish,Taylor Wimpey & David Wilson Homes,,O/2013/0346,170010,1880.391397,139637.5939
70,Thames Valley Science Park Gateway Building 2,SP8_1c,Under construction,Shinfield Parish,"University of Reading, Barton Wilmore",,O/2009/1027,173287,347.7291055,5756.477062
71,Thames Valley Science Park Cancer Research Centre,SP8_1b,Under construction,Shinfield Parish,"University of Reading, Barton Wilmore",,O/2009/1027,162841,390.5967408,9499.63196
72,Thames Valley Science Park Phase 2,SP8_2,Fully approved (work not started),Shinfield Parish,"University of Reading, Barton Wilmore",,O/2009/1027,163609,1366.186217,98048.37159
73,Thames Valley Science Park Car Park,SP8_1d,Completed,Shinfield Parish,"University of Reading, Barton Wilmore",,O/2009/1027,162818,680.8606635,15391.71741
74,Parcel M,A15,Under construction,Arborfield,Millgate Homes,,O/2014/2280,181982,477.778986,11254.77482
75,Parcel K,A14,Under construction,Arborfield,Crest Nicholson,,O/2014/2280,173734,272.8110295,4668.652044
76,Parcel C2,A16,Under construction,Arborfield,Crest Nicholson,,O/2014/2280,181658,527.8362969,16245.58787
77,Thames Valley Science Park Gateway Building 1,SP8_1a,Completed,Shinfield Parish,"University of Reading, Barton WIlmore",,O/2009/1027,151988,437.2586614,10669.00977
78,Primary School,A17,Fully approved (work not started),Arborfield,Crest Nicholson,Primary School,O/2014/2280,180846,750.700527,29385.16032
79,Specialist Housing Site (South),SP9_3b,Under construction,Shinfield Parish,"Evolution (Shinfield), Bloor, Bovis, Castleoak",,0/2010/1432,180757,274.3907328,3914.079968
80,Specialist Housing Site (North),SP9_3a,Fully approved (work not started),Shinfield Parish,"Evolution (Shinfield), Bloor, Bovis, Anchor",,O/2010/1432,180758,465.6274754,8778.537503
81,Link Road,SP8_3,Fully approved (work not started),Shinfield Parish,"University of Reading, Barton Wilmore",,163609,182159,386.9902961,2790.605032
82,British Museum Archives,SP32,Under construction,Shinfield Parish,"British Museum, Barton Wilmore",British Museum Research Facility Collection,182059,182059,1128.96312,72593.43328
83,Lakeside Bus Route,A18,Fully approved (work not started),Arborfield,Lakeside Bus Route,Crest Nicholson,O/2014/2280,182364,1373.745623,54428.2735
84,Hogwood Farm Phase 1,A1_1,Under construction,Arborfield,Legal & General Homes,Finchwood Park,O/2014/2179,181194,1149.145691,70199.48812
